video_id,video_title,views,likes,n_comments,duration,channel_name,subscribers
2RgbsCoyFW8,🔥 ¡Nuevas Noticias de IA! Lo Que Está A Punto de Cambiarlo Todo 💥,1117,47,2,PT16M25S,IA Profit Academy,3330
MsumGaNRqSs,CBD: ¿Funciona o no? ¿Tiene riesgos?,57195,7358,359,PT15M15S,La Hiperactina,2350000
